key,count,unique,min,max,range,avg_change,max_change,first_val,last_val
A00_258_b3,63,2,0,1,1,0.032,1,0,0
A00_258_b7,63,2,0,4,4,0.129,4,0,0
112_060_b3,24,2,8,9,1,0.130,1,8,9
C10_028_b3,11,2,0,1,1,0.200,1,0,0
A00_258_b8,63,2,0,4,4,0.387,4,4,4
008_108_b1,5,2,0,1,1,0.500,1,1,1
C10_028_b1,11,2,0,1,1,0.500,1,1,0
B10_490_b1,5,2,68,70,2,0.500,2,70,68
10C_310_b4,19,3,8,12,4,0.500,4,9,8
218_625_b3,53,2,0,8,8,0.615,8,0,0
112_060_b5,24,3,0,4,4,0.739,4,4,1
008_108_b13,5,2,1,2,1,0.750,1,2,1
008_108_b2,5,2,128,130,2,1.000,2,128,128
233_0A0_b1,7,2,96,98,2,1.000,2,98,96
001_541_b1,7,2,0,4,4,1.333,4,0,0
298_015_b5,5,3,0,4,4,1.750,4,0,1
C10_028_b7,11,3,0,4,4,1.800,4,0,0
218_625_b4,53,5,0,10,10,1.808,9,1,1
218_625_b1,53,2,0,16,16,1.846,16,0,0
C10_028_b27,11,3,0,9,9,1.900,9,1,0
001_541_b12,7,4,0,5,5,2.000,3,2,0
001_541_b11,7,2,0,4,4,2.000,4,4,0
210_490_b0,9,3,0,8,8,2.000,8,0,0
002_660_b11,32,3,0,16,16,2.065,16,0,0
298_015_b6,5,4,0,5,5,2.250,5,1,0
C10_028_b22,11,4,0,16,16,2.600,8,8,16
008_108_b22,5,3,0,5,5,2.750,5,1,0
D10_490_b1,6,3,64,70,6,3.200,6,70,70
C42_200_b10,18,3,0,18,18,4.000,18,0,0
