seq,timestamp,10C_310_raw,10C_310_temp_C,112_060_raw,112_060_temp_C,D10_490_raw,D10_490_temp_C,B10_490_raw,B10_490_temp_C
3519,1600858,,,8,-5.0,,,,
4592,1619456,,,,,70,26.0,,
5356,1635966,,,,,,,70,26.0
7894,1690790,,,8,-5.0,,,,
8143,1696315,,,8,-5.0,,,,
8403,1700787,,,8,-5.0,,,,
10311,1739725,,,,,68,25.0,,
10530,234496,8,-5.0,,,,,,
11210,248841,8,-5.0,,,,,,
11361,1759135,,,,,70,26.0,,
11506,255095,8,-5.0,,,,,,
11559,257496,8,-5.0,,,,,,
11621,257970,8,-5.0,,,,,,
11963,1769509,,,8,-5.0,,,,
12987,1791217,,,,,,,70,26.0
13085,287258,,,8,-5.0,,,,
13899,301660,,,8,-5.0,,,,
15086,1833150,,,,,,,68,25.0
16262,1856430,,,8,-5.0,,,,
16547,1862363,,,8,-5.0,,,,
16966,1872080,,,8,-5.0,,,,
17161,1876384,,,8,-5.0,,,,
17600,379131,8,-5.0,,,,,,
17681,1885346,,,8,-5.0,,,,
17881,383506,8,-5.0,,,,,,
17964,384441,8,-5.0,,,,,,
18165,389027,8,-5.0,,,,,,
18748,399005,8,-5.0,,,,,,
18902,401417,8,-5.0,,,,,,
21703,1983702,,,,,,,68,25.0
22327,1995990,,,8,-5.0,,,,
23388,2016735,,,8,-5.0,,,,
24098,512385,,,8,-5.0,,,,
28305,605952,,,,,68,25.0,,
33143,707519,,,8,-5.0,,,,
33494,2236034,,,8,-5.0,,,,
33972,2248332,,,8,-5.0,,,,
34157,2251331,,,8,-5.0,,,,
34424,2256346,,,8,-5.0,,,,
34704,2262341,,,8,-5.0,,,,
39871,849373,,,,,64,23.0,,
40621,863685,,,,,,,68,25.0
49616,1047655,,,9,-4.5,,,,
56119,1334426,,,8,-5.0,,,,
56376,1339880,,,9,-4.5,,,,
62858,1469823,,,,,70,26.0,,
